P_pv,P_wind,SOC,P_load,Grid_available,P_dg,f_sys,V_sys,time_of_day,P_battery,Grid_export,Load_shedding
0,82.3484306189087,0.830718732021851,112.612753551886,0,30.2643229329771,50.1487850945029,393.885568547698,19,0,0,0
0,99.8822035155532,0.59768429407013,113.572138078643,0,13.6899345630894,50.052664393795,399.129567283536,21,0,0,0
0,37.4543086830501,0.488607636571362,53.7788327170283,1,0,49.7390419385803,408.702298278829,3,-16.3245240339782,0,0
0,50.8094513107832,0.504023759379581,111.032495850744,0,60.2230445399605,49.6937665500413,399.642386620732,21,0,0,0
34.0844726314122,74.8498589366762,0.596641703922782,105.775208963198,0,0,50.3025813567896,402.999053385635,15,3.15912260489044,0,0
0,39.991514651251,0.389204172552698,65.6670100585844,1,0,49.670803104577,384.398409862567,2,-25.6754954073334,0,1
7.68732677429272,93.1655153576901,0.322407194102076,36.0107990488512,1,0,50.3696381806556,407.276439080787,6,64.8420430831316,64.8420430831316,0
40.2638604853004,42.7685926765233,0.834026407239365,92.6398114470888,0,9.60735828526514,50.0676988311597,441.558364849384,13,0,0,0
0,4.22192947160035,0.35230772317338,98.9869622583109,1,0,49.714775739716,387.381513428259,22,-94.7650327867106,0,1
0,15.7553040529377,0.412339213727786,86.545644748168,1,0,50.3379001179866,406.173733055507,23,-70.7903406952303,0,0
0,36.1351717681785,0.700442553061229,58.2544082778865,1,0,50.4236184995919,419.674047424456,3,-22.119236509708,0,0
0,5.88538918369136,0.486208800769139,94.1117973657265,1,0,49.7879390320889,423.159541630758,23,-88.2264081820352,0,0
0,84.336036456866,0.815838263763668,106.935605374213,0,22.5995689173469,49.9966392894453,399.763257340149,22,0,0,0
47.9469711796335,88.9983755622639,0.7360606361993,72.2892066021162,0,0,49.9287739799216,395.139153733004,11,64.6561401397812,0,0
0,5.88942471833853,0.333111341907481,125.323424369418,1,0,50.0259705380443,380.388671236314,19,-119.43399965108,0,1
0,20.2492541136726,0.742512530847202,54.7025879608073,1,0,50.4780430686379,402.670587254454,3,-34.4533338471348,0,0
42.7663516561454,8.73696666108087,0.716599089647724,58.9112458840824,1,0,50.3965472344705,404.463553434033,10,-7.40792756685607,0,0
0,57.3072916480887,0.842614448795143,105.823564519337,0,48.5162728712485,50.4598305598223,399.255778515847,21,0,0,0
0,43.699023283442,0.852105053073157,121.74939889171,1,0,49.72692279474,392.828412973665,19,-78.0503756082677,0,0
0,8.88124173215159,0.489973199546173,94.1829311782357,1,0,49.6237949189876,386.962206783381,23,-85.3016894460841,0,0
39.3989979872761,77.5723198136281,0.579905665958846,112.733453030509,0,0,50.1695641136146,398.429547664991,15,4.23786477039518,0,0
0,73.3927379031315,0.382548828010014,73.7979363807811,1,0,50.3318834303966,407.792266051979,0,-0.405198477649577,0,1
0,14.5227386857227,0.356457425565492,109.884528964762,0,95.3617902790389,49.7084816657842,405.673818503198,20,0,0,0
0,61.5828514724771,0.623491336064783,108.089918549629,1,0,50.172933442708,404.020948027924,22,-46.5070670771522,0,0
20.7414018320123,79.8206778933779,0.382215533222927,116.517934900244,1,0,50.3407361093257,405.316074359552,16,-15.9558551748539,0,1
0,82.0231043902685,0.502650020154043,121.816014555929,0,39.7929101656608,50.4602185361813,401.876703084299,18,0,0,0
9.8350670035121,36.8625331951348,0.510953300972915,119.768325143882,1,0,50.2761384592476,396.903615779558,17,-73.0707249452355,0,0
36.3905786514471,80.9936891925674,0.601237712519058,58.5843883615478,0,0,49.6234570435541,400.997225503619,9,58.7998794824668,0,0
35.622508979056,6.0680020423148,0.704717489277785,114.512049798973,1,0,50.0805400751606,407.274524022748,15,-72.8215387776019,0,0
0,9.07508274678312,0.310902464245312,48.9295569258637,1,0,49.8350175958416,392.926392167738,4,-39.8544741790806,0,1
20.0985672492497,80.5585641902073,0.743871815830446,115.508916541783,0,14.8517851023257,50.3655205856964,403.465458625602,16,0,0,0
0,54.6980919566268,0.732948319385108,77.8125910826813,0,23.1144991260545,50.3409930048805,412.200385152483,0,0,0,0
0,89.5124242734885,0.448237226093466,38.6973800169997,1,0,49.8100044175553,393.075204548365,6,50.8150442564888,50.8150442564888,0
0,18.6858761589189,0.868124845351084,65.5071944591158,0,46.8213183001969,50.3199700181691,399.255919871695,1,0,0,0
0,83.2460573908841,0.369681866865063,51.4403901020364,0,0,50.0595917215081,403.447398992584,2,31.8056672888477,0,0
0,6.26397734212979,0.38080063471596,125.075697158821,1,0,50.190137017537,406.635938060365,19,-118.811719816691,0,1
30.0357070055954,60.0029557848887,0.389881052758029,116.322062031819,1,0,50.1173879825203,403.80364686309,16,-26.2833992413351,0,1
14.8756841778528,6.00721266080804,0.859908419250228,36.836659512617,1,0,50.4059117593955,397.414674514686,7,-15.9537626739562,0,0
0,23.3532910627902,0.394994424919525,99.1130815610249,0,75.7597904982347,49.7070194179908,403.281279350399,22,0,0,0
0,21.9706353145267,0.370769610724802,89.0864940258068,1,0,49.568581603514,395.0053335551,0,-67.11585871128,0,1
46.0754092640067,25.9250380460217,0.51924625901893,60.7832544738051,1,0,50.4156326146694,409.68086050151,10,11.2171928362233,11.2171928362233,0
45.3332350062623,59.9285161743039,0.79912642631878,67.8893445233168,0,0,49.6101263170938,393.093125538993,9,37.3724066572494,0,0
0,69.4915398370391,0.873105544668197,122.403204224599,0,52.9116643875596,50.2740498229006,412.440140915546,18,0,0,0
0,92.2127964308747,0.800616651981659,122.274698069384,0,30.0619016385088,49.9676309673599,390.49838847693,19,0,0,0
0,65.5575466925251,0.350351716146169,51.9290574379133,1,0,49.7623505306474,383.633486398289,4,13.6284892546118,13.6284892546118,0
45.1177542304172,63.3643357559537,0.666342395424292,74.5556102249222,0,0,50.1526523368952,398.18301781339,11,33.9264797614486,0,0
38.4019873553167,40.179813929328,0.421296824971264,60.8265271670479,0,0,49.9229347093892,400.772245690124,10,17.7552741175968,0,0
31.5478788932821,35.7841996705088,0.65307723423257,110.512100737033,1,0,49.8156274339262,385.997658297337,15,-43.1800221732418,0,0
6.52321812600893,45.3987599494908,0.855001164876185,108.222537728378,0,56.3005596528785,49.6099433209973,400.792460579135,17,0,0,0
0,83.8933580444433,0.542169682618872,120.602153047112,0,36.7087950026687,49.6369665604822,409.581302200719,18,0,0,0
0,39.0013418605796,0.862840773059629,44.1889781314864,1,0,49.6442178605488,405.295100026579,6,-5.18763627090681,0,0
32.7851308133699,88.9675973309932,0.743885921311145,113.529268873483,1,0,50.1932532210217,405.722405434363,16,8.22345927088053,8.22345927088053,0
37.9950055585166,81.1448379649953,0.339640059451105,106.116239601214,1,0,50.1296570918426,402.679748873837,15,13.0236039222983,13.0236039222983,0
0,82.2251657461199,0.386227225361759,43.1946419368521,1,0,50.4615117474055,423.457603223163,3,39.0305238092678,39.0305238092678,0
0,86.4895217749837,0.819879620836907,63.2558580582883,1,0,50.1032857783514,388.266323785436,2,23.2336637166954,23.2336637166954,0
45.6253821280019,33.874464732438,0.493459308535682,68.6523446719258,1,0,50.2689097830455,388.317436218892,11,10.8475021885141,10.8475021885141,0
